N;Grupo;Animal;Dosagem;PA_mmHg;Desvio_PA;Ptr_cmH2O;Desvio_Ptr;Perturbacao
1;SHR 17 Semanas Tratados;1;PBS;7,574,214,286;9,003,220,071;3,386,163,316;0.662704142;1
2;SHR 17 Semanas Tratados;1;PBS;80,041;8,555,955,631;3,356,647,781;0.681800494;2
3;SHR 17 Semanas Tratados;1;PBS;806,255,102;8,138,012,387;3,376,566,188;0.668296592;3
4;SHR 17 Semanas Tratados;1;PBS;8,094,031,579;8,162,358,787;3,380,218,538;0.670029494;4
5;SHR 17 Semanas Tratados;1;PBS;832,677,551;7,946,903,375;3,360,478,982;0.693075866;5
6;SHR 17 Semanas Tratados;1;PBS;836,288;8,161,975,929;3,364,439,164;0.672451578;6
7;SHR 17 Semanas Tratados;1;PBS;844,572;7,682,960,824;3,390,440,992;0.679000063;7
8;SHR 17 Semanas Tratados;1;PBS;838,051;8,033,565,757;3,321,052,872;0.67832338;8
9;SHR 17 Semanas Tratados;1;PBS;8,427,234,694;7,514,771,817;337,163,342;0.681077058;9
10;SHR 17 Semanas Tratados;1;PBS;831,239;776,372,293;3,374,713,838;0.677656504;10
11;SHR 17 Semanas Tratados;1;PBS;8,467,054,878;804,683,533;3,320,361,097;0.684705927;11
12;SHR 17 Semanas Tratados;1;PBS;832,058;7,815,020,267;3,354,103,525;0.685866984;12
13;SHR 17 Semanas Tratados;1;PBS;843,148;7,669,303,694;3,383,528,068;0.678080333;13
14;SHR 17 Semanas Tratados;1;PBS;8,199,010,309;7,994,738,829;3,380,024,804;0.683292802;14
15;SHR 17 Semanas Tratados;1;PBS;8,324,417,123;7,730,999,362;3,363,519,321;0.676726978;15
16;SHR 17 Semanas Tratados;1;3 ug/kg;6,061,453,125;1,048,411,909;3,393,372,585;0.71981813;1
17;SHR 17 Semanas Tratados;1;3 ug/kg;6,767,757,576;9,758,566,942;3,436,477,154;0.70513389;2
18;SHR 17 Semanas Tratados;1;3 ug/kg;6,956,833,333;9,894,462,637;3,393,528,068;0.707650091;3
19;SHR 17 Semanas Tratados;1;3 ug/kg;755,256;9,236,364,924;3,427,766,188;0.696726508;4
20;SHR 17 Semanas Tratados;1;3 ug/kg;7,868,683,673;922,668,034;3,391,867,885;0.701967272;5
21;SHR 17 Semanas Tratados;1;3 ug/kg;847,415;881,570,011;3,386,561,749;0.697685707;6
22;SHR 17 Semanas Tratados;1;3 ug/kg;8,774,003,201;8,884,211,456;3,367,604,439;0.707610341;7
23;SHR 17 Semanas Tratados;1;3 ug/kg;918,582;8,537,719,088;3,397,106,527;0.701572477;8
24;SHR 17 Semanas Tratados;1;3 ug/kg;9,431,987,541;8,495,251,857;3,311,255,744;0.703695401;9
25;SHR 17 Semanas Tratados;1;3 ug/kg;974,784;8,391,402,493;3,407,189,034;0.704472253;10
26;SHR 17 Semanas Tratados;1;3 ug/kg;985,564;8,316,685,859;3,387,299,086;0.701723168;11
27;SHR 17 Semanas Tratados;1;3 ug/kg;1,011,139,796;8,482,581,636;3,399,717,624;0.703428795;12
28;SHR 17 Semanas Tratados;1;3 ug/kg;1,017,425;8,574,084,794;3,361,289,426;0.703901204;13
29;SHR 17 Semanas Tratados;1;3 ug/kg;103,739;8,502,394,731;3,372,196,867;0.703342351;14
30;SHR 17 Semanas Tratados;1;3 ug/kg;104,577,732;8,614,971,042;3,394,195,561;0.701140868;15
31;SHR 17 Semanas Tratados;1;10 ug/kg;55,484;1,194,236,166;34,917,547;0.967729277;1
32;SHR 17 Semanas Tratados;1;10 ug/kg;5,801,322,979;105,425,373;3,580,728,198;0.941447051;2
33;SHR 17 Semanas Tratados;1;10 ug/kg;578,424,087;9,488,134,773;3,590,648,172;0.818210063;3
34;SHR 17 Semanas Tratados;1;10 ug/kg;618,592;9,891,523,325;3,543,679,112;0.770294256;4
35;SHR 17 Semanas Tratados;1;10 ug/kg;644,414;9,684,782,922;3,394,332,898;0.760245278;5
36;SHR 17 Semanas Tratados;1;10 ug/kg;6,771,306,122;9,513,691,318;3,460,422,454;0.74667898;6
37;SHR 17 Semanas Tratados;1;10 ug/kg;7,036,765,306;9,427,685,573;3,463,841,123;0.745272414;7
38;SHR 17 Semanas Tratados;1;10 ug/kg;738,532;8,984,655,143;3,422,066,188;0.750586774;8
39;SHR 17 Semanas Tratados;1;10 ug/kg;7,672,487,505;9,028,280,062;3,407,178,198;0.749755738;9
40;SHR 17 Semanas Tratados;1;10 ug/kg;794,662;8,672,740,853;3,440,842,298;0.748617538;10
41;SHR 17 Semanas Tratados;1;10 ug/kg;8,176,373,737;8,733,469,468;3,466,173,238;0.74641388;11
42;SHR 17 Semanas Tratados;1;10 ug/kg;8,328,354,167;8,465,549,005;3,457,020,888;0.744242889;12
43;SHR 17 Semanas Tratados;1;10 ug/kg;8,541,777,778;868,534,463;3,404,479,504;0.746129046;13
44;SHR 17 Semanas Tratados;1;10 ug/kg;8,688,661,599;8,600,403,335;3,414,941,384;0.745291701;14
45;SHR 17 Semanas Tratados;1;10 ug/kg;874,884;848,162,705;3,379,729,373;0.75110758;15
46;SHR 17 Semanas Tratados;1;30 ug/kg;485,133,575;1,045,152,796;4,161,966,051;2,675,292,908;1
47;SHR 17 Semanas Tratados;1;30 ug/kg;50,848,645;1,075,230,734;4,669,275,603;2,041,948,868;2
48;SHR 17 Semanas Tratados;1;30 ug/kg;506,067;1,105,990,785;3,901,795,548;1,266,295,336;3
