Time(s), Pressure(mmHg), Action Number
0.18,75.21,0
0.20,99.96,0
0.22,88.97,0
0.24,83.49,0
0.26,82.77,0
0.28,81.17,0
0.30,77.86,0
0.32,74.44,0
0.34,71.92,0
0.36,70.89,0
0.38,70.42,0
0.40,86.10,0
0.42,100.24,0
0.44,97.25,0
0.46,86.69,0
0.48,82.54,0
0.50,82.03,0
0.52,81.38,0
0.54,78.50,0
0.56,75.01,0
0.58,72.37,0
0.60,70.33,0
0.62,72.60,0
0.64,91.33,0
0.66,101.41,0
0.68,99.78,0
0.70,89.34,0
0.72,83.26,0
0.74,82.54,0
0.76,81.28,0
0.78,78.13,0
0.80,74.48,0
0.82,71.86,0
0.84,70.80,0
0.86,70.54,0
0.90,101.93,0
0.92,98.69,0
0.94,87.63,0
0.96,83.17,0
0.98,82.97,0
1.00,82.30,0
1.02,79.33,0
1.04,75.58,0
1.06,72.70,0
1.08,70.52,0
1.10,72.17,0
1.12,90.30,0
1.14,100.90,0
1.16,99.59,0
1.18,89.33,0
1.20,82.89,0
1.22,82.06,0
1.24,80.96,0
1.26,77.90,0
1.28,74.37,0
1.30,71.82,0
1.32,70.78,0
1.34,70.61,0
1.36,87.03,0
1.38,100.95,0
1.40,97.51,0
1.42,86.79,0
1.44,82.77,0
1.46,82.16,0
1.48,81.45,0
1.50,78.55,0
1.52,74.82,0
1.54,71.78,0
1.56,69.71,0
1.58,73.71,0
1.60,93.44,0
1.62,102.14,0
1.64,99.89,0
1.66,89.07,0
1.68,83.41,0
1.70,82.71,0
1.72,81.19,0
1.74,77.75,0
1.76,74.14,0
1.78,71.63,0
1.80,70.55,0
1.82,71.12,0
1.84,88.15,0
1.86,100.14,0
1.88,95.24,0
1.90,85.09,0
1.92,81.83,0
1.94,81.32,0
1.96,80.58,0
1.98,77.67,0
2.00,74.11,0
2.02,71.49,0
2.04,69.47,0
2.06,75.92,0
2.08,95.43,0
2.10,101.11,0
2.12,97.62,0
2.14,86.55,0
2.16,82.10,0
2.18,81.52,0
2.20,79.54,0
2.22,76.04,0
2.24,72.68,0
2.26,70.16,0
2.28,69.06,0
2.30,72.81,0
2.32,92.54,0
2.34,101.43,0
2.36,93.97,0
2.38,84.40,0
2.40,82.02,0
2.42,81.32,0
2.44,80.34,0
2.46,77.02,0
2.48,73.43,0
2.50,70.90,0
2.52,69.04,0
2.54,78.95,0
2.56,97.03,0
2.58,99.33,0
2.60,94.76,0
2.62,84.64,0
2.64,81.55,0
2.66,81.03,0
2.68,78.94,0
2.70,75.42,0
2.72,72.27,0
2.74,70.06,0
2.76,69.18,0
2.78,78.05,0
2.80,97.33,0
2.82,100.97,0
2.84,90.77,0
2.86,82.96,0
2.88,81.65,0
2.90,81.38,0
2.92,79.25,0
2.94,75.48,0
2.96,72.19,0
2.98,70.01,0
3.00,69.42,0
3.02,85.19,0
3.04,100.24,0
3.06,97.73,0
3.08,92.05,0
3.10,83.41,0
3.12,81.66,0
3.14,80.78,0
3.16,78.01,0
3.18,74.25,0
3.20,71.32,0
3.22,69.37,0
3.24,69.38,0
3.26,83.61,0
3.28,99.65,0
3.30,98.44,0
3.32,87.52,0
3.34,82.26,0
3.36,81.59,0
3.38,80.06,0
3.40,78.53,0
3.42,74.88,0
3.44,71.96,0
3.46,69.71,0
3.48,73.90,0
3.50,94.13,0
3.52,102.49,0
3.54,94.35,0
3.56,88.64,0
3.58,82.95,0
3.60,82.00,0
3.62,80.38,0
3.64,77.03,0
3.66,73.49,0
3.68,70.93,0
3.70,69.29,0
3.72,72.39,0
3.74,91.43,0
3.76,101.39,0
3.78,94.69,0
3.80,84.74,0
3.82,81.94,0
3.84,81.20,0
3.86,78.73,0
3.88,77.00,0
3.90,73.57,0
3.92,71.09,0
3.94,69.32,0
3.96,80.48,0
3.98,98.75,0
4.00,100.41,0
4.02,95.62,0
4.04,85.39,0
4.06,82.36,0
4.08,81.71,0
4.10,79.46,0
4.12,75.72,0
4.14,72.41,0
4.16,70.08,0
4.18,69.35,0
4.20,80.38,0
4.22,99.44,0
4.24,101.62,0
4.26,90.73,0
4.28,83.61,0
4.30,82.63,0
4.32,81.33,0
4.34,79.85,0
4.36,76.04,0
4.38,72.74,0
4.40,70.36,0
4.42,70.95,0
4.44,88.53,0
4.46,100.95,0
4.48,96.09,0
4.50,90.27,0
4.52,82.83,0
4.54,81.50,0
4.56,80.50,0
4.58,77.60,0
4.60,73.96,0
4.62,71.25,0
4.64,69.32,0
4.66,71.03,0
4.68,89.19,0
4.70,101.49,0
4.72,96.22,0
4.74,85.56,0
4.76,82.07,0
4.78,81.43,0
4.80,79.20,0
4.82,77.44,0
4.84,73.71,0
4.86,70.82,0
4.88,68.81,0
4.90,79.36,0
4.92,98.66,0
4.94,101.12,0
4.96,90.46,0
4.98,85.74,0
5.00,82.36,0
5.02,81.70,0
5.04,79.49,0
5.06,75.74,0
5.08,72.40,0
5.10,70.05,0
5.12,70.89,0
5.14,78.38,0
5.16,96.81,0
5.18,99.44,0
5.20,89.03,0
5.22,82.04,0
5.24,80.98,0
5.26,79.89,0
5.28,76.90,0
5.30,75.06,0
5.32,71.87,0
5.34,69.59,0
5.36,71.87,0
5.38,91.11,0
5.40,101.42,0
5.42,94.52,0
5.44,84.31,0
5.46,82.09,0
5.48,81.05,0
5.50,79.72,0
5.52,76.41,0
5.54,72.64,0
5.56,70.08,0
5.58,68.64,0
5.60,82.53,0
5.62,93.00,0
5.64,101.94,0
5.66,94.11,0
5.68,84.26,0
5.70,81.80,0
5.72,81.06,0
5.74,78.47,0
5.76,74.70,0
5.78,72.99,0
5.80,70.38,0
5.82,69.48,0
5.84,84.45,0
5.86,99.35,0
5.88,96.84,0
5.90,85.98,0
5.92,81.24,0
5.94,80.84,0
5.96,80.04,0
5.98,77.42,0
6.00,73.81,0
6.02,70.92,0
6.04,68.91,0
6.06,77.73,0
6.08,97.29,0
6.10,101.48,0
6.12,96.36,0
6.14,85.23,0
6.16,81.39,0
6.18,80.69,0
6.20,78.49,0
6.22,74.94,0
6.24,71.52,0
6.26,70.15,0
6.28,68.28,0
6.30,79.91,0
6.32,98.69,0
